CaseParID1	CaseParID2	lawIDs	CommonCitations
4	5044	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	5145	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	5183	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	5215	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	5227	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5295	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	5461	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5505	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	5591	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 2 IVG
4	5615	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	5667	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	5717	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5759	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5824	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	5915	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5952	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	5967	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	6010	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	6044	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	6119	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	6132	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 1 Abs. 1 IVG
4	6140	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	167	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	446	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	612	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	656	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	894	ATSG,IVG	Art. 4 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	1484	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	1876	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	2002	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	2115	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	2134	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	2436	ATSG,IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	3027	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	3232	ATSG,IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	3761	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4120	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4464	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4881	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	5165	ATSG,IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	5490	IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	6089	ATSG,IVG	Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	31	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	145	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	279	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	360	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	420	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	802	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	863	IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	943	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	1593	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	2030	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	2091	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	2240	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	3163	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	3396	ATSG,IVG	Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
